SELLER INFO,SELLER TYPE,BHK,PRICE,Area in sqft,LOCATION,STATUS,PRICE PER SQ.FT
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,3 , 36 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,307 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 26 L,1170 ,muthangi,Under ConstructionConstruction Status,"2,222 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1150 ,Miyapur,Under ConstructionConstruction Status,"3,130 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 35.7 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 54.6 L,1560 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 44 L,1050 ,Miyapur,Under ConstructionConstruction Status,"4,190 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 35 L,1560 ,muthangi,Under ConstructionConstruction Status,"2,243 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar Vill,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 26 L,1150 ,muthangi,Under ConstructionConstruction Status,"2,260 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 36 L,1520 ,muthangi,Under ConstructionConstruction Status,"2,368 / sq ft"
seller,OWNER,2 , 36 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,461 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 70 L,1300 ,Manikonda,Ready to moveConstruction Status,"5,384 / sq ft"
seller,OWNER,2 , 70 L,1300 ,Manikonda,Ready to moveConstruction Status,"5,384 / sq ft"
seller,OWNER,2 , 70 L,1300 ,Manikonda,Ready to moveConstruction Status,"5,384 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,3 , 59 L,1705 ,Nizampet,Ready to moveConstruction Status,"3,460 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,3 , 43.4 L,1240 ,Miyapur,Under ConstructionConstruction Status,"3,500 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Chandanagar,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,3 , 44 L,1260 ,Chandanagar,Under ConstructionConstruction Status,"3,492 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 34 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,269 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 36 L,1020 ,Miyapur,Under ConstructionConstruction Status,"3,529 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1060 ,Miyapur,Under ConstructionConstruction Status,"3,584 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,2 , 38 L,1040 ,Miyapur,Under ConstructionConstruction Status,"3,653 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 37 L,1040 ,Chandanagar,Under ConstructionConstruction Status,"3,557 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
seller,OWNER,3 , 44 L,1240 ,Chandanagar,Under ConstructionConstruction Status,"3,548 / sq ft"
